code,error_reason
sz.300342,close_price 低于 ma10
sh.600711,close_price 低于 ma10
sh.603859,close_price 低于 ma10
sz.002312,close_price 低于 ma10
sz.000908,close_price 低于 ma10
sh.600329,ma10 低于 ma20
sh.605060,ma10 低于 ma20
sh.600732,close_price 低于 ma10
sh.600593,close_price 低于 ma10
sh.688416,ma10 低于 ma20
sh.600809,ma10 低于 ma20
sz.300469,ma10 低于 ma20
sh.688227,close_price 低于 ma10
sz.000536,ma10 低于 ma20
sz.300871,ma10 低于 ma20
sh.603396,close_price 低于 ma10
sz.000592,close_price 低于 ma10
sh.688226,close_price 低于 ma10
sz.300900,close_price 低于 ma10
sz.002201,close_price 低于 ma10
sz.002126,close_price 低于 ma10
sh.603127,close_price 低于 ma10
sz.000962,close_price 低于 ma10
sz.300739,close_price 低于 ma10
sz.000572,close_price 低于 ma10
sh.600549,close_price 低于 ma10
sz.301075,close_price 低于 ma10
sz.002149,close_price 低于 ma10
sz.000534,close_price 低于 ma10
sh.600795,close_price 低于 ma10
sz.300969,ma10 低于 ma20
sh.600219,close_price 低于 ma10
sz.300607,close_price 低于 ma10
sz.002416,ma10 低于 ma20
sz.300622,close_price 低于 ma10
sh.605358,ma10 低于 ma20
sh.600039,close_price 低于 ma10
sh.600698,close_price 低于 ma10
sz.300561,ma10 低于 ma20
sh.600113,close_price 低于 ma10
sh.603499,ma10 低于 ma20
sh.688327,close_price 低于 ma10
sh.603657,ma10 低于 ma20
sz.002943,close_price 低于 ma10
sh.603203,close_price 低于 ma10
sz.002895,close_price 低于 ma10
sz.300757,close_price 低于 ma10
sh.603444,close_price 低于 ma10
sz.002625,close_price 低于 ma10
sz.002444,close_price 低于 ma10
sz.000506,close_price 低于 ma10
sh.688699,ma10 低于 ma20
sz.000837,ma10 低于 ma20
sz.300751,close_price 低于 ma10
sz.001212,close_price 低于 ma10
sh.603601,close_price 低于 ma10
sh.688256,close_price 低于 ma10
sz.002283,close_price 低于 ma10
sz.301326,close_price 低于 ma10
sh.688228,close_price 低于 ma10
sh.605318,ma10 低于 ma20
sz.300681,close_price 低于 ma10
sh.600678,close_price 低于 ma10
sh.601001,close_price 低于 ma10
sz.000670,ma10 低于 ma20
sz.301529,close_price 低于 ma10
sz.300687,close_price 低于 ma10
sh.688480,close_price 低于 ma10
sz.002046,close_price 低于 ma10
sh.600246,close_price 低于 ma10
sz.000981,close_price 低于 ma10
sh.688198,close_price 低于 ma10
sz.300781,close_price 低于 ma10
sz.300693,close_price 低于 ma10
sz.002558,close_price 低于 ma10
sz.002241,ma10 低于 ma20
sh.688003,close_price 低于 ma10
sh.600702,ma10 低于 ma20
sh.688091,ma10 低于 ma20
sh.603809,close_price 低于 ma10
sz.002141,ma10 低于 ma20
sh.688372,close_price 低于 ma10
sz.002693,ma10 低于 ma20
sz.002553,close_price 低于 ma10
sz.003033,close_price 低于 ma10
sh.603893,close_price 低于 ma10
sz.300990,close_price 低于 ma10
sz.300390,ma10 低于 ma20
sz.301183,close_price 低于 ma10
sh.600557,ma10 低于 ma20
sh.688017,close_price 低于 ma10
sh.688244,close_price 低于 ma10
sh.603119,close_price 低于 ma10
sh.603966,close_price 低于 ma10
sh.600301,close_price 低于 ma10
sz.000559,close_price 低于 ma10
sz.002843,close_price 低于 ma10
sz.002533,close_price 低于 ma10
sz.300638,ma10 低于 ma20
sz.300816,close_price 低于 ma10
sh.600673,close_price 低于 ma10
sh.600199,ma10 低于 ma20
sh.600105,ma10 低于 ma20
sh.600734,close_price 低于 ma10
sz.300712,close_price 低于 ma10
sh.688313,close_price 低于 ma10
sh.688333,close_price 低于 ma10
sz.002222,close_price 低于 ma10
sh.603052,ma10 低于 ma20
sz.300617,close_price 低于 ma10
sh.688610,close_price 低于 ma10
sz.000903,ma10 低于 ma20
sh.600499,close_price 低于 ma10
sh.688448,close_price 低于 ma10
sh.600141,close_price 低于 ma10
sh.601857,close_price 低于 ma10
sz.002097,close_price 低于 ma10
sh.603129,ma10 低于 ma20
sz.002602,close_price 低于 ma10
sh.603163,ma10 低于 ma20
sz.000816,close_price 低于 ma10
sz.002361,close_price 低于 ma10
sh.603768,ma10 低于 ma20
sz.301526,close_price 低于 ma10
sz.002239,ma10 低于 ma20
sh.600331,close_price 低于 ma10
sz.000155,close_price 低于 ma10
sz.000762,close_price 低于 ma10
sh.603890,ma10 低于 ma20
sz.000301,close_price 低于 ma10
sh.600577,close_price 低于 ma10
sh.600938,close_price 低于 ma10
sz.002765,close_price 低于 ma10
sz.301468,close_price 低于 ma10
sh.605128,ma10 低于 ma20
sz.300290,close_price 低于 ma10
sh.605255,ma10 低于 ma20
sh.601689,close_price 低于 ma10
sh.603915,close_price 低于 ma10
sz.000733,close_price 低于 ma10
sh.601579,close_price 低于 ma10
sh.603171,close_price 低于 ma10
sz.002317,ma10 低于 ma20
sh.688270,close_price 低于 ma10
sh.601137,close_price 低于 ma10
sz.301448,close_price 低于 ma10
sh.601126,close_price 低于 ma10
sh.603496,close_price 低于 ma10
sh.688260,close_price 低于 ma10
sh.600889,ma10 低于 ma20
sh.603516,ma10 低于 ma20
sz.301225,close_price 低于 ma10
sh.605305,ma10 低于 ma20
sz.002158,close_price 低于 ma10
sh.603298,close_price 低于 ma10
sz.003021,close_price 低于 ma10
sz.002050,close_price 低于 ma10
sh.603726,ma10 低于 ma20
sz.002374,ma10 低于 ma20
sh.603613,ma10 低于 ma20
sh.603278,close_price 低于 ma10
sz.000009,ma10 低于 ma20
sh.605298,close_price 低于 ma10
sz.301317,close_price 低于 ma10
sz.300033,close_price 低于 ma10
sz.300316,close_price 低于 ma10
sz.300217,ma10 低于 ma20
sz.300656,ma10 低于 ma20
sz.300624,close_price 低于 ma10
sz.002885,close_price 低于 ma10
sz.300480,close_price 低于 ma10
sz.002824,close_price 低于 ma10
sh.688115,close_price 低于 ma10
sh.688095,close_price 低于 ma10
sh.688306,close_price 低于 ma10
sh.600513,close_price 低于 ma10
sz.002517,close_price 低于 ma10
sz.300055,close_price 低于 ma10
sz.300803,close_price 低于 ma10
sh.603955,close_price 低于 ma10
sz.002165,ma10 低于 ma20
sz.300403,close_price 低于 ma10
sh.600619,close_price 低于 ma10
sh.601600,close_price 低于 ma10
sz.301611,close_price 低于 ma10
sz.301160,ma10 低于 ma20
sz.300817,close_price 低于 ma10
sh.600183,ma10 低于 ma20
sh.688320,close_price 低于 ma10
sz.300062,close_price 低于 ma10
sh.600801,close_price 低于 ma10
sz.000831,close_price 低于 ma10
sh.600106,close_price 低于 ma10
sh.688766,ma10 低于 ma20
sh.603612,close_price 低于 ma10
sz.300552,close_price 低于 ma10
sh.600021,close_price 低于 ma10
sz.301117,close_price 低于 ma10
sz.000928,close_price 低于 ma10
sz.002128,close_price 低于 ma10
sz.301266,ma10 低于 ma20
sz.001270,close_price 低于 ma10
sz.002101,ma10 低于 ma20
sz.002219,ma10 低于 ma20
sz.301306,ma10 低于 ma20
sz.300953,ma10 低于 ma20
sh.600452,close_price 低于 ma10
sz.002756,close_price 低于 ma10
sz.301226,close_price 低于 ma10
sh.688787,ma10 低于 ma20
sz.003035,close_price 低于 ma10
sh.688368,close_price 低于 ma10
sz.300179,close_price 低于 ma10
sz.301073,close_price 低于 ma10
sz.002838,ma10 低于 ma20
sz.300488,close_price 低于 ma10
sh.603025,close_price 低于 ma10
sh.603033,close_price 低于 ma10
sh.601288,close_price 低于 ma10
sz.301181,ma10 低于 ma20
sz.000338,close_price 低于 ma10
sz.300745,close_price 低于 ma10
sh.605100,ma10 低于 ma20
sh.688702,close_price 低于 ma10
sh.603011,close_price 低于 ma10
sz.002919,close_price 低于 ma10
sh.688084,ma10 低于 ma20
sz.300061,close_price 低于 ma10
sz.300461,close_price 低于 ma10
sz.002434,close_price 低于 ma10
sh.688347,ma10 低于 ma20
sz.002953,close_price 低于 ma10
sh.601336,close_price 低于 ma10
sz.000893,close_price 低于 ma10
sz.002334,close_price 低于 ma10
sh.603505,close_price 低于 ma10
sh.603269,close_price 低于 ma10
sz.002028,close_price 低于 ma10
sz.300136,close_price 低于 ma10
sh.688593,close_price 低于 ma10
sz.300433,close_price 低于 ma10
sz.300429,ma10 低于 ma20
sh.603216,close_price 低于 ma10
sh.600392,close_price 低于 ma10
sz.300748,close_price 低于 ma10
sz.002181,ma10 低于 ma20
sz.002080,close_price 低于 ma10
sz.000807,close_price 低于 ma10
sh.603800,ma10 低于 ma20
sz.002272,close_price 低于 ma10
sz.002017,close_price 低于 ma10
sh.688143,close_price 低于 ma10
sh.603392,ma10 低于 ma20
sh.603297,close_price 低于 ma10
sz.301486,close_price 低于 ma10
sz.300652,close_price 低于 ma10
sh.688676,close_price 低于 ma10
sh.600391,close_price 低于 ma10
sz.300085,ma10 低于 ma20
sh.600316,close_price 低于 ma10
sz.002358,close_price 低于 ma10
sz.301076,ma10 低于 ma20
sz.002842,close_price 低于 ma10
sh.603767,close_price 低于 ma10
sz.002460,ma10 低于 ma20
sh.688167,ma10 低于 ma20
sh.688109,ma10 低于 ma20
sz.300674,close_price 低于 ma10
sh.688171,close_price 低于 ma10
sz.002326,ma10 低于 ma20
sz.000752,ma10 低于 ma20
sz.301338,close_price 低于 ma10
sz.002788,close_price 低于 ma10
sh.603069,close_price 低于 ma10
sz.000909,close_price 低于 ma10
sh.603879,close_price 低于 ma10
sz.002779,close_price 低于 ma10
sz.000821,close_price 低于 ma10
sh.601020,close_price 低于 ma10
sz.002342,ma10 低于 ma20
sz.300102,close_price 低于 ma10
sz.300337,close_price 低于 ma10
sz.002420,ma10 低于 ma20
sz.300436,ma10 低于 ma20
sz.002130,ma10 低于 ma20
sz.002810,ma10 低于 ma20
sz.002043,ma10 低于 ma20
sh.688249,ma10 低于 ma20
sz.000565,close_price 低于 ma10
sh.603358,close_price 低于 ma10
sz.000600,close_price 低于 ma10
sh.601698,close_price 低于 ma10
sh.601777,close_price 低于 ma10
sh.688059,close_price 低于 ma10
sz.300546,ma10 低于 ma20
sz.300766,close_price 低于 ma10
sz.002094,ma10 低于 ma20
sz.300446,close_price 低于 ma10
sz.300458,close_price 低于 ma10
sz.002527,close_price 低于 ma10
sh.603306,close_price 低于 ma10
sh.688631,close_price 低于 ma10
sh.688600,close_price 低于 ma10
sz.002131,close_price 低于 ma10
sz.300378,close_price 低于 ma10
sz.301398,close_price 低于 ma10
sz.300058,close_price 低于 ma10
sh.601233,close_price 低于 ma10
sz.300660,close_price 低于 ma10
sz.301085,close_price 低于 ma10
sh.603960,close_price 低于 ma10
sh.688503,close_price 低于 ma10
sh.688367,ma10 低于 ma20
sz.000795,close_price 低于 ma10
sh.600031,close_price 低于 ma10
sh.600255,close_price 低于 ma10
sz.002992,ma10 低于 ma20
sz.300752,ma10 低于 ma20
sh.605337,ma10 低于 ma20
sh.688656,ma10 低于 ma20
sz.301171,close_price 低于 ma10
sh.603332,ma10 低于 ma20
sh.603533,close_price 低于 ma10
sz.300835,close_price 低于 ma10
sz.002265,close_price 低于 ma10
sh.688102,close_price 低于 ma10
sh.600336,ma10 低于 ma20
sz.002357,close_price 低于 ma10
sz.002472,ma10 低于 ma20
sz.300251,close_price 低于 ma10
sz.300870,close_price 低于 ma10
sz.301232,close_price 低于 ma10
sh.688533,close_price 低于 ma10
sh.688028,close_price 低于 ma10
sz.002493,close_price 低于 ma10
sh.605198,close_price 低于 ma10
sz.002139,ma10 低于 ma20
sh.603665,close_price 低于 ma10
sz.300584,ma10 低于 ma20
sz.300171,close_price 低于 ma10
sz.301209,close_price 低于 ma10
sz.002735,close_price 低于 ma10
sh.600660,close_price 低于 ma10
sz.300218,close_price 低于 ma10
sz.002611,ma10 低于 ma20
sh.600986,close_price 低于 ma10
sh.688172,ma10 低于 ma20
sh.688603,close_price 低于 ma10
sz.300570,close_price 低于 ma10
sz.300393,close_price 低于 ma10
sh.688343,close_price 低于 ma10
sh.603919,ma10 低于 ma20
sz.300591,close_price 低于 ma10
sh.600318,close_price 低于 ma10
sh.688031,close_price 低于 ma10
sz.301489,close_price 低于 ma10
sz.002920,ma10 低于 ma20
sz.002112,close_price 低于 ma10
sz.000400,close_price 低于 ma10
sz.300608,close_price 低于 ma10
sh.600875,close_price 低于 ma10
sz.300655,ma10 低于 ma20
sh.605376,close_price 低于 ma10
sz.301120,close_price 低于 ma10
sz.002518,close_price 低于 ma10
sz.002488,close_price 低于 ma10
sz.300339,close_price 低于 ma10
sz.000721,ma10 低于 ma20
sh.600592,close_price 低于 ma10
sz.300777,close_price 低于 ma10
sh.688390,close_price 低于 ma10
sz.300427,close_price 低于 ma10
sz.300806,close_price 低于 ma10
sh.603088,close_price 低于 ma10
sh.601519,close_price 低于 ma10
sh.600810,ma10 低于 ma20
sz.300065,close_price 低于 ma10
sh.688358,ma10 低于 ma20
sh.600268,close_price 低于 ma10
sz.002145,close_price 低于 ma10
sz.300723,ma10 低于 ma20
sz.000603,close_price 低于 ma10
sh.603908,ma10 低于 ma20
sh.603685,close_price 低于 ma10
sz.300229,close_price 低于 ma10
sz.300472,ma10 低于 ma20
sh.688788,close_price 低于 ma10
sh.688072,close_price 低于 ma10
sz.300063,close_price 低于 ma10
sh.600765,close_price 低于 ma10
sz.300474,close_price 低于 ma10
sz.300682,close_price 低于 ma10
sh.600007,ma10 低于 ma20
sz.301285,close_price 低于 ma10
sh.603799,close_price 低于 ma10
sh.603699,close_price 低于 ma10
sz.002539,close_price 低于 ma10
sz.300567,close_price 低于 ma10
sz.000629,close_price 低于 ma10
sz.300101,close_price 低于 ma10
sz.300363,ma10 低于 ma20
sh.603339,close_price 低于 ma10
sz.300100,close_price 低于 ma10
sz.002629,close_price 低于 ma10
sz.301387,close_price 低于 ma10
sh.688530,close_price 低于 ma10
sz.300688,ma10 低于 ma20
sz.301210,close_price 低于 ma10
sh.600409,close_price 低于 ma10
sz.300819,close_price 低于 ma10
sh.601636,close_price 低于 ma10
sz.300554,ma10 低于 ma20
sz.300487,close_price 低于 ma10
sz.301608,close_price 低于 ma10
sh.688375,close_price 低于 ma10
sh.603256,close_price 低于 ma10
sh.601727,close_price 低于 ma10
sz.300912,close_price 低于 ma10
sh.600854,ma10 低于 ma20
sh.688677,close_price 低于 ma10
sz.000830,close_price 低于 ma10
sz.001331,close_price 低于 ma10
sh.603713,close_price 低于 ma10
sh.600480,close_price 低于 ma10
sz.000987,close_price 低于 ma10
sh.600309,close_price 低于 ma10
sh.601615,ma10 低于 ma20
sz.001696,close_price 低于 ma10
sz.000766,close_price 低于 ma10
sh.600744,close_price 低于 ma10
sh.688726,close_price 低于 ma10
sz.301488,close_price 低于 ma10
sz.301110,close_price 低于 ma10
sz.000906,close_price 低于 ma10
sz.301603,close_price 低于 ma10
sz.300680,close_price 低于 ma10
sz.001896,close_price 低于 ma10
sh.603122,close_price 低于 ma10
sh.603926,close_price 低于 ma10
sh.601369,close_price 低于 ma10
sh.688395,ma10 低于 ma20
sz.300421,close_price 低于 ma10
sz.002377,close_price 低于 ma10
sz.300780,close_price 低于 ma10
sh.603259,close_price 低于 ma10
sz.002153,close_price 低于 ma10
sz.301357,close_price 低于 ma10
sz.301538,close_price 低于 ma10
sh.603296,ma10 低于 ma20
sz.002892,ma10 低于 ma20
sz.002478,close_price 低于 ma10
sz.300435,close_price 低于 ma10
sh.688419,close_price 低于 ma10
sh.600060,ma10 低于 ma20
sh.600861,close_price 低于 ma10
sz.000421,close_price 低于 ma10
sz.300442,close_price 低于 ma10
sz.300199,ma10 低于 ma20
sh.603728,close_price 低于 ma10
sh.601388,close_price 低于 ma10
sh.601168,close_price 低于 ma10
sh.601688,close_price 低于 ma10
sz.300631,close_price 低于 ma10
sh.600580,close_price 低于 ma10
sz.002062,close_price 低于 ma10
sh.600410,close_price 低于 ma10
sh.688425,close_price 低于 ma10
sz.002718,close_price 低于 ma10
sz.300353,close_price 低于 ma10
sh.603579,ma10 低于 ma20
sz.000426,close_price 低于 ma10
sz.300809,close_price 低于 ma10
sz.300126,close_price 低于 ma10
sz.000568,ma10 低于 ma20
sz.002077,ma10 低于 ma20
sh.600126,close_price 低于 ma10
sz.300455,close_price 低于 ma10
sz.000066,ma10 低于 ma20
sh.688433,close_price 低于 ma10
sz.300776,close_price 低于 ma10
sh.688611,close_price 低于 ma10
sh.688283,close_price 低于 ma10
sh.688160,close_price 低于 ma10
sz.000039,close_price 低于 ma10
sz.300658,close_price 低于 ma10
sh.600346,close_price 低于 ma10
sh.605287,close_price 低于 ma10
sz.000519,close_price 低于 ma10
sz.301636,close_price 低于 ma10
sh.688232,close_price 低于 ma10
sh.600559,ma10 低于 ma20
sz.300539,close_price 低于 ma10
sz.002250,close_price 低于 ma10
sh.603013,close_price 低于 ma10
sz.002170,close_price 低于 ma10
sh.603786,close_price 低于 ma10
sz.003041,ma10 低于 ma20
sz.300698,close_price 低于 ma10
sz.300071,close_price 低于 ma10
sz.300160,ma10 低于 ma20
sh.600658,close_price 低于 ma10
sh.603009,close_price 低于 ma10
sh.600770,close_price 低于 ma10
sh.688432,close_price 低于 ma10
sz.301255,close_price 低于 ma10
sz.002617,close_price 低于 ma10
sz.002716,close_price 低于 ma10
sz.002436,close_price 低于 ma10
sz.300018,close_price 低于 ma10
sz.301368,close_price 低于 ma10
sz.002532,close_price 低于 ma10
sh.688027,close_price 低于 ma10
sz.301421,ma10 低于 ma20
sh.600460,ma10 低于 ma20
sz.002803,ma10 低于 ma20
sh.600760,close_price 低于 ma10
sh.688298,ma10 低于 ma20
sh.600537,ma10 低于 ma20
sz.002297,close_price 低于 ma10
sz.300111,close_price 低于 ma10
sz.300848,ma10 低于 ma20
sz.002989,close_price 低于 ma10
sz.300917,close_price 低于 ma10
sz.300952,close_price 低于 ma10
sh.601717,close_price 低于 ma10
sh.600779,ma10 低于 ma20
sh.600350,ma10 低于 ma20
sh.603029,ma10 低于 ma20
sz.002979,ma10 低于 ma20
sz.002965,close_price 低于 ma10
sz.002414,close_price 低于 ma10
sh.603383,close_price 低于 ma10
sh.600210,close_price 低于 ma10
sz.301005,close_price 低于 ma10
sz.300120,ma10 低于 ma20
sh.688191,close_price 低于 ma10
sz.301022,ma10 低于 ma20
sz.002969,ma10 低于 ma20
sz.300571,ma10 低于 ma20
sh.600780,close_price 低于 ma10
sz.300203,close_price 低于 ma10
sz.300523,ma10 低于 ma20
sh.605086,close_price 低于 ma10
sh.688200,ma10 低于 ma20
sh.688560,close_price 低于 ma10
sz.000056,close_price 低于 ma10
sz.002642,close_price 低于 ma10
sh.600010,close_price 低于 ma10
sz.000966,close_price 低于 ma10
sh.600536,close_price 低于 ma10
sh.603855,ma10 低于 ma20
sz.000609,ma10 低于 ma20
sh.601702,close_price 低于 ma10
sh.688709,ma10 低于 ma20
sz.002987,ma10 低于 ma20
sz.300247,close_price 低于 ma10
sz.300161,ma10 低于 ma20
sh.688691,close_price 低于 ma10
sh.688316,close_price 低于 ma10
sh.605006,ma10 低于 ma20
sz.003001,ma10 低于 ma20
sz.002685,close_price 低于 ma10
sz.300437,close_price 低于 ma10
sz.000921,close_price 低于 ma10
sz.300810,close_price 低于 ma10
sz.000819,close_price 低于 ma10
sh.688568,close_price 低于 ma10
sz.002741,ma10 低于 ma20
sh.688047,ma10 低于 ma20
sh.603337,close_price 低于 ma10
sz.002497,close_price 低于 ma10
sh.688548,close_price 低于 ma10
sh.603739,ma10 低于 ma20
sz.002392,close_price 低于 ma10
sz.301128,ma10 低于 ma20
sz.300620,ma10 低于 ma20
sh.688683,close_price 低于 ma10
sz.002851,close_price 低于 ma10
sz.300580,close_price 低于 ma10
sh.603283,ma10 低于 ma20
sz.300151,ma10 低于 ma20
sh.603267,close_price 低于 ma10
sz.301172,ma10 低于 ma20
sz.300286,close_price 低于 ma10
sh.603758,close_price 低于 ma10
sz.300054,ma10 低于 ma20
sz.002562,ma10 低于 ma20
sz.001208,close_price 低于 ma10
sz.002676,close_price 低于 ma10
sz.002896,close_price 低于 ma10
sz.300700,ma10 低于 ma20
sh.603331,close_price 低于 ma10
sz.002506,close_price 低于 ma10
sz.300031,close_price 低于 ma10
sz.300139,close_price 低于 ma10
sh.605008,close_price 低于 ma10
sz.300300,close_price 低于 ma10
sh.603061,close_price 低于 ma10
sz.300785,close_price 低于 ma10
sz.002890,ma10 低于 ma20
sh.688237,ma10 低于 ma20
sz.002389,close_price 低于 ma10
sz.300210,close_price 低于 ma10
sz.301391,close_price 低于 ma10
sh.600644,close_price 低于 ma10
sz.002827,close_price 低于 ma10
sz.002606,close_price 低于 ma10
sz.300733,close_price 低于 ma10
sh.600893,close_price 低于 ma10
sh.603233,close_price 低于 ma10
sz.000070,close_price 低于 ma10
sz.300793,ma10 低于 ma20
sz.000014,ma10 低于 ma20
sz.002600,close_price 低于 ma10
sh.603110,close_price 低于 ma10
sz.002167,close_price 低于 ma10
sh.603918,close_price 低于 ma10
sz.000555,ma10 低于 ma20
sz.300181,ma10 低于 ma20
sh.688329,close_price 低于 ma10
sh.603703,close_price 低于 ma10
sz.301257,close_price 低于 ma10
sz.002560,close_price 低于 ma10
sz.300465,ma10 低于 ma20
sh.600120,close_price 低于 ma10
sz.300492,close_price 低于 ma10
sh.688255,close_price 低于 ma10
sz.000683,close_price 低于 ma10
sz.300430,ma10 低于 ma20
sz.300206,ma10 低于 ma20
sz.002186,close_price 低于 ma10
sz.003038,close_price 低于 ma10
sh.603200,close_price 低于 ma10
sh.601872,close_price 低于 ma10
sz.301382,ma10 低于 ma20
sz.300716,close_price 低于 ma10
sz.301286,close_price 低于 ma10
sh.600584,close_price 低于 ma10
sh.601958,close_price 低于 ma10
sh.600988,close_price 低于 ma10
sz.300654,close_price 低于 ma10
sz.000409,close_price 低于 ma10
sz.300331,close_price 低于 ma10
sh.603123,close_price 低于 ma10
sh.600961,close_price 低于 ma10
sh.688156,close_price 低于 ma10
sh.601929,close_price 低于 ma10
sh.601998,ma10 低于 ma20
sz.002546,close_price 低于 ma10
sh.688380,ma10 低于 ma20
sz.301153,ma10 低于 ma20
sz.300313,ma10 低于 ma20
sz.300245,close_price 低于 ma10
sz.300412,close_price 低于 ma10
sz.002402,close_price 低于 ma10
sz.301280,ma10 低于 ma20
sh.605068,ma10 低于 ma20
sz.300226,close_price 低于 ma10
sh.688315,ma10 低于 ma20
sh.688215,close_price 低于 ma10
sz.002175,ma10 低于 ma20
sz.002240,close_price 低于 ma10
sz.002847,ma10 低于 ma20
sz.300237,close_price 低于 ma10
sh.600326,close_price 低于 ma10
sh.688668,ma10 低于 ma20
sh.688455,close_price 低于 ma10
sz.301268,close_price 低于 ma10
sz.300418,close_price 低于 ma10
sz.300093,ma10 低于 ma20
sh.600375,ma10 低于 ma20
sh.600295,close_price 低于 ma10
sz.300576,ma10 低于 ma20
sz.002249,close_price 低于 ma10
sh.603290,ma10 低于 ma20
sh.688239,close_price 低于 ma10
sh.603356,close_price 低于 ma10
sh.600418,close_price 低于 ma10
sz.002664,close_price 低于 ma10
sz.002096,close_price 低于 ma10
sh.603619,close_price 低于 ma10
sh.688282,close_price 低于 ma10
sz.300158,ma10 低于 ma20
sz.002068,ma10 低于 ma20
sz.000993,close_price 低于 ma10
sh.603978,ma10 低于 ma20
sh.688716,ma10 低于 ma20
sh.688710,ma10 低于 ma20
sz.002448,close_price 低于 ma10
sz.300124,ma10 低于 ma20
sz.300553,close_price 低于 ma10
sh.605050,close_price 低于 ma10
sz.002787,close_price 低于 ma10
sh.603232,close_price 低于 ma10
sh.600610,close_price 低于 ma10
sh.600522,close_price 低于 ma10
sh.600817,ma10 低于 ma20
sz.300200,ma10 低于 ma20
sz.002906,close_price 低于 ma10
sh.601866,close_price 低于 ma10
sz.002859,turnover_amount 低于阈值 20000000
sh.600993,close_price 低于 ma10
sh.600550,close_price 低于 ma10
sh.688326,ma10 低于 ma20
sz.003006,close_price 低于 ma10
sz.001359,close_price 低于 ma10
sh.688307,close_price 低于 ma10
sz.002351,ma10 低于 ma20
sz.300648,close_price 低于 ma10
sz.000065,close_price 低于 ma10
sz.300141,close_price 低于 ma10
sz.300497,ma10 低于 ma20
sh.688387,close_price 低于 ma10
sz.300386,ma10 低于 ma20
sh.600490,close_price 低于 ma10
sh.600101,close_price 低于 ma10
sz.301345,ma10 低于 ma20
sh.603228,ma10 低于 ma20
sz.300925,close_price 低于 ma10
sz.301548,close_price 低于 ma10
sh.688370,close_price 低于 ma10
sz.300456,close_price 低于 ma10
