trade_date,portfolio_rank,code,action,heat_level,score,entry_price,stop_loss,target_price,suggested_shares,suggested_position_pct,expected_loss_amt,expected_profit_amt,reason
2026-03-20,791,sz.300664,正常跟踪,正常,-691.0,6.2,5.89,6.82,100,0.0006,31.0,62.0,主趋势过滤
2026-03-20,792,sh.600063,正常跟踪,正常,-692.0,7.48,7.11,8.23,100,0.0007,37.0,75.0,主趋势过滤
2026-03-20,794,sz.000876,正常跟踪,正常,-694.0,8.87,8.43,9.76,100,0.0009,44.0,89.0,主趋势过滤
2026-03-20,797,sh.600121,正常跟踪,正常,-697.0,5.28,5.02,5.81,100,0.0005,26.0,53.0,主趋势过滤
2026-03-20,798,sz.300301,正常跟踪,正常,-698.0,3.26,3.1,3.59,200,0.0007,32.0,66.0,主趋势过滤
2026-03-20,801,sz.000677,正常跟踪,正常,-701.0,5.13,4.87,5.64,100,0.0005,26.0,51.0,主趋势过滤
2026-03-20,802,sz.002445,正常跟踪,正常,-702.0,4.04,3.84,4.44,200,0.0008,40.0,80.0,主趋势过滤
2026-03-20,804,sh.600027,正常跟踪,正常,-704.0,5.28,5.02,5.81,100,0.0005,26.0,53.0,主趋势过滤
2026-03-20,807,sh.600423,正常跟踪,正常,-707.0,4.07,3.87,4.48,200,0.0008,40.0,82.0,主趋势过滤
2026-03-20,808,sh.600800,正常跟踪,正常,-708.0,5.01,4.76,5.51,100,0.0005,25.0,50.0,主趋势过滤
2026-03-20,810,sz.000692,正常跟踪,正常,-710.0,4.26,4.05,4.69,200,0.0009,42.0,86.0,主趋势过滤
2026-03-20,814,sz.002556,正常跟踪,正常,-714.0,6.97,6.62,7.67,100,0.0007,35.0,70.0,主趋势过滤
2026-03-20,815,sz.002092,正常跟踪,正常,-715.0,8.18,7.77,9.0,100,0.0008,41.0,82.0,主趋势过滤
2026-03-20,817,sh.600050,正常跟踪,正常,-717.0,5.03,4.78,5.53,100,0.0005,25.0,50.0,主趋势过滤
2026-03-20,818,sh.600398,正常跟踪,正常,-718.0,6.29,5.98,6.92,100,0.0006,31.0,63.0,主趋势过滤
2026-03-20,819,sh.600202,正常跟踪,正常,-719.0,6.45,6.13,7.1,100,0.0006,32.0,65.0,主趋势过滤
2026-03-20,820,sh.600971,正常跟踪,正常,-720.0,7.77,7.38,8.55,100,0.0008,39.0,78.0,主趋势过滤
2026-03-20,828,sz.002391,正常跟踪,正常,-728.0,6.66,6.33,7.33,100,0.0007,33.0,67.0,主趋势过滤
2026-03-20,833,sz.000927,正常跟踪,正常,-733.0,3.14,2.98,3.45,200,0.0006,32.0,62.0,主趋势过滤
2026-03-20,835,sz.300419,正常跟踪,正常,-735.0,7.87,7.48,8.66,100,0.0008,39.0,79.0,主趋势过滤
2026-03-20,838,sh.600405,正常跟踪,正常,-738.0,6.15,5.84,6.77,100,0.0006,31.0,62.0,主趋势过滤
2026-03-20,847,sh.600568,正常跟踪,正常,-747.0,3.12,2.96,3.43,200,0.0006,32.0,62.0,主趋势过滤
2026-03-20,848,sz.000488,正常跟踪,正常,-748.0,2.9,2.75,3.19,300,0.0009,45.0,87.0,主趋势过滤
2026-03-20,849,sz.300587,正常跟踪,正常,-749.0,6.53,6.2,7.18,100,0.0007,33.0,65.0,主趋势过滤
2026-03-20,861,sh.600925,正常跟踪,正常,-761.0,4.86,4.62,5.35,100,0.0005,24.0,49.0,主趋势过滤
2026-03-20,862,sz.000404,正常跟踪,正常,-762.0,7.25,6.89,7.98,100,0.0007,36.0,73.0,主趋势过滤
2026-03-20,863,sz.000597,正常跟踪,正常,-763.0,5.34,5.07,5.87,100,0.0005,27.0,53.0,主趋势过滤
2026-03-20,868,sh.600545,正常跟踪,正常,-768.0,4.21,4.0,4.63,200,0.0008,42.0,84.0,主趋势过滤
2026-03-20,869,sh.600603,正常跟踪,正常,-769.0,8.05,7.65,8.86,100,0.0008,40.0,81.0,主趋势过滤
2026-03-20,870,sz.000010,正常跟踪,正常,-770.0,4.68,4.45,5.15,100,0.0005,23.0,47.0,主趋势过滤
2026-03-20,874,sh.601918,正常跟踪,正常,-774.0,8.1,7.69,8.91,100,0.0008,41.0,81.0,主趋势过滤
2026-03-20,875,sz.300070,正常跟踪,正常,-775.0,4.2,3.99,4.62,200,0.0008,42.0,84.0,主趋势过滤
2026-03-20,877,sz.300569,正常跟踪,正常,-777.0,8.34,7.92,9.17,100,0.0008,42.0,83.0,主趋势过滤
2026-03-20,879,sh.601908,正常跟踪,正常,-779.0,4.24,4.03,4.66,200,0.0008,42.0,84.0,主趋势过滤
2026-03-20,882,sh.688009,正常跟踪,正常,-782.0,6.02,5.72,6.62,100,0.0006,30.0,60.0,主趋势过滤
2026-03-20,883,sh.601800,正常跟踪,正常,-783.0,8.22,7.81,9.04,100,0.0008,41.0,82.0,主趋势过滤
2026-03-20,886,sh.600502,正常跟踪,正常,-786.0,4.95,4.7,5.45,100,0.0005,25.0,50.0,主趋势过滤
2026-03-20,892,sz.002178,正常跟踪,正常,-792.0,6.77,6.43,7.45,100,0.0007,34.0,68.0,主趋势过滤
2026-03-20,894,sz.002426,正常跟踪,正常,-794.0,4.47,4.25,4.92,100,0.0004,22.0,45.0,主趋势过滤
2026-03-20,896,sz.300057,正常跟踪,正常,-796.0,6.42,6.1,7.06,100,0.0006,32.0,64.0,主趋势过滤
2026-03-20,901,sz.000557,正常跟踪,正常,-801.0,5.15,4.89,5.67,100,0.0005,26.0,52.0,主趋势过滤
2026-03-20,903,sz.000509,正常跟踪,正常,-803.0,4.07,3.87,4.48,200,0.0008,40.0,82.0,主趋势过滤
2026-03-20,904,sz.002652,正常跟踪,正常,-804.0,5.58,5.3,6.14,100,0.0006,28.0,56.0,主趋势过滤
2026-03-20,906,sz.000019,正常跟踪,正常,-806.0,7.69,7.31,8.46,100,0.0008,38.0,77.0,主趋势过滤
2026-03-20,912,sz.300259,正常跟踪,正常,-812.0,5.07,4.82,5.58,100,0.0005,25.0,51.0,主趋势过滤
2026-03-20,913,sz.002321,正常跟踪,正常,-813.0,2.41,2.29,2.65,300,0.0007,36.0,72.0,主趋势过滤
2026-03-20,914,sh.601200,正常跟踪,正常,-814.0,8.82,8.38,9.7,100,0.0009,44.0,88.0,主趋势过滤
2026-03-20,916,sh.600075,正常跟踪,正常,-816.0,7.3,6.93,8.03,100,0.0007,37.0,73.0,主趋势过滤
2026-03-20,918,sz.300241,正常跟踪,正常,-818.0,7.29,6.93,8.02,100,0.0007,36.0,73.0,主趋势过滤
2026-03-20,923,sh.601668,正常跟踪,正常,-823.0,5.09,4.84,5.6,100,0.0005,25.0,51.0,主趋势过滤
2026-03-20,928,sh.600429,正常跟踪,正常,-828.0,5.51,5.23,6.06,100,0.0006,28.0,55.0,主趋势过滤
2026-03-20,930,sh.601789,正常跟踪,正常,-830.0,6.56,6.23,7.22,100,0.0007,33.0,66.0,主趋势过滤
2026-03-20,932,sz.000900,正常跟踪,正常,-832.0,4.35,4.13,4.79,200,0.0009,44.0,88.0,主趋势过滤
2026-03-20,933,sh.600691,正常跟踪,正常,-833.0,4.29,4.08,4.72,200,0.0009,42.0,86.0,主趋势过滤
2026-03-20,934,sz.000727,正常跟踪,正常,-834.0,2.82,2.68,3.1,300,0.0008,42.0,84.0,主趋势过滤
2026-03-20,938,sz.002124,正常跟踪,正常,-838.0,2.61,2.48,2.87,300,0.0008,39.0,78.0,主趋势过滤
2026-03-20,940,sh.600905,正常跟踪,正常,-840.0,4.36,4.14,4.8,200,0.0009,44.0,88.0,主趋势过滤
2026-03-20,941,sh.600017,正常跟踪,正常,-841.0,3.28,3.12,3.61,200,0.0007,32.0,66.0,主趋势过滤
2026-03-20,942,sh.603880,正常跟踪,正常,-842.0,7.39,7.02,8.13,100,0.0007,37.0,74.0,主趋势过滤
2026-03-20,944,sh.601880,正常跟踪,正常,-844.0,1.76,1.67,1.94,500,0.0009,45.0,90.0,主趋势过滤
2026-03-20,947,sh.600018,正常跟踪,正常,-847.0,5.2,4.94,5.72,100,0.0005,26.0,52.0,主趋势过滤
2026-03-20,948,sz.000839,正常跟踪,正常,-848.0,3.69,3.51,4.06,200,0.0007,36.0,74.0,主趋势过滤
2026-03-20,955,sh.601158,正常跟踪,正常,-855.0,4.65,4.42,5.12,100,0.0005,23.0,47.0,主趋势过滤
2026-03-20,960,sz.300189,正常跟踪,正常,-860.0,8.81,8.37,9.69,100,0.0009,44.0,88.0,主趋势过滤
2026-03-20,961,sh.600874,正常跟踪,正常,-861.0,6.51,6.18,7.16,100,0.0007,33.0,65.0,主趋势过滤
2026-03-20,965,sh.600664,正常跟踪,正常,-865.0,3.58,3.4,3.94,200,0.0007,36.0,72.0,主趋势过滤
2026-03-20,967,sh.601568,正常跟踪,正常,-867.0,4.51,4.28,4.96,100,0.0005,23.0,45.0,主趋势过滤
2026-03-20,970,sz.300296,正常跟踪,正常,-870.0,8.86,8.42,9.75,100,0.0009,44.0,89.0,主趋势过滤
2026-03-20,972,sz.300080,正常跟踪,正常,-872.0,5.89,5.6,6.48,100,0.0006,29.0,59.0,主趋势过滤
2026-03-20,974,sz.002686,正常跟踪,正常,-874.0,7.16,6.8,7.88,100,0.0007,36.0,72.0,主趋势过滤
2026-03-20,975,sh.600512,正常跟踪,正常,-875.0,2.59,2.46,2.85,300,0.0008,39.0,78.0,主趋势过滤
2026-03-20,979,sz.002724,正常跟踪,正常,-879.0,8.21,7.8,9.03,100,0.0008,41.0,82.0,主趋势过滤
2026-03-20,981,sz.002567,正常跟踪,正常,-881.0,4.46,4.24,4.91,100,0.0004,22.0,45.0,主趋势过滤
2026-03-20,986,sz.001213,正常跟踪,正常,-886.0,4.28,4.07,4.71,200,0.0009,42.0,86.0,主趋势过滤
2026-03-20,987,sh.600716,正常跟踪,正常,-887.0,4.73,4.49,5.2,100,0.0005,24.0,47.0,主趋势过滤
2026-03-20,990,sz.002608,正常跟踪,正常,-890.0,8.44,8.02,9.28,100,0.0008,42.0,84.0,主趋势过滤
2026-03-20,991,sz.002496,正常跟踪,正常,-891.0,2.14,2.03,2.35,400,0.0009,44.0,84.0,主趋势过滤
2026-03-20,996,sz.300311,正常跟踪,正常,-896.0,5.57,5.29,6.13,100,0.0006,28.0,56.0,主趋势过滤
2026-03-20,999,sz.300180,正常跟踪,正常,-899.0,6.99,6.64,7.69,100,0.0007,35.0,70.0,主趋势过滤
2026-03-20,1000,sz.002666,正常跟踪,正常,-900.0,6.12,5.81,6.73,100,0.0006,31.0,61.0,主趋势过滤
2026-03-20,1001,sz.002631,正常跟踪,正常,-901.0,7.49,7.12,8.24,100,0.0007,37.0,75.0,主趋势过滤
2026-03-20,1002,sh.600307,正常跟踪,正常,-902.0,2.0,1.9,2.2,400,0.0008,40.0,80.0,主趋势过滤
2026-03-20,1003,sh.601118,正常跟踪,正常,-903.0,7.71,7.32,8.48,100,0.0008,39.0,77.0,主趋势过滤
2026-03-20,1007,sz.300267,正常跟踪,正常,-907.0,4.05,3.85,4.46,200,0.0008,40.0,82.0,主趋势过滤
2026-03-20,1010,sz.300350,正常跟踪,正常,-910.0,6.69,6.36,7.36,100,0.0007,33.0,67.0,主趋势过滤
2026-03-20,1011,sh.600433,正常跟踪,正常,-911.0,3.72,3.53,4.09,200,0.0007,38.0,74.0,主趋势过滤
2026-03-20,1013,sz.002366,正常跟踪,正常,-913.0,8.36,7.94,9.2,100,0.0008,42.0,84.0,主趋势过滤
2026-03-20,1015,sh.601816,正常跟踪,正常,-915.0,5.17,4.91,5.69,100,0.0005,26.0,52.0,主趋势过滤
2026-03-20,1017,sh.600395,正常跟踪,正常,-917.0,6.08,5.78,6.69,100,0.0006,30.0,61.0,主趋势过滤
2026-03-20,1021,sz.002692,正常跟踪,正常,-921.0,6.09,5.79,6.7,100,0.0006,30.0,61.0,主趋势过滤
2026-03-20,1024,sz.002638,正常跟踪,正常,-924.0,4.03,3.83,4.43,200,0.0008,40.0,80.0,主趋势过滤
2026-03-20,1025,sz.002442,正常跟踪,正常,-925.0,6.72,6.38,7.39,100,0.0007,34.0,67.0,主趋势过滤
2026-03-20,1029,sh.600020,正常跟踪,正常,-929.0,4.18,3.97,4.6,200,0.0008,42.0,84.0,主趋势过滤
2026-03-20,1031,sz.000518,正常跟踪,正常,-931.0,3.01,2.86,3.31,200,0.0006,30.0,60.0,主趋势过滤
2026-03-20,1035,sz.300272,正常跟踪,正常,-935.0,7.88,7.49,8.67,100,0.0008,39.0,79.0,主趋势过滤
2026-03-20,1037,sh.600998,正常跟踪,正常,-937.0,5.32,5.05,5.85,100,0.0005,27.0,53.0,主趋势过滤
2026-03-20,1039,sz.000626,正常跟踪,正常,-939.0,8.78,8.34,9.66,100,0.0009,44.0,88.0,主趋势过滤
2026-03-20,1040,sz.000505,正常跟踪,正常,-940.0,7.65,7.27,8.42,100,0.0008,38.0,77.0,主趋势过滤
2026-03-20,1042,sh.601228,正常跟踪,正常,-942.0,3.59,3.41,3.95,200,0.0007,36.0,72.0,主趋势过滤
2026-03-20,1046,sh.600500,正常跟踪,正常,-946.0,4.76,4.52,5.24,100,0.0005,24.0,48.0,主趋势过滤
2026-03-20,1048,sh.600195,正常跟踪,正常,-948.0,8.15,7.74,8.97,100,0.0008,41.0,82.0,主趋势过滤
2026-03-20,1050,sh.600540,正常跟踪,正常,-950.0,5.46,5.19,6.01,100,0.0005,27.0,55.0,主趋势过滤
2026-03-20,1052,sz.300013,正常跟踪,正常,-952.0,4.17,3.96,4.59,200,0.0008,42.0,84.0,主趋势过滤
2026-03-20,1054,sz.000911,正常跟踪,正常,-954.0,7.13,6.77,7.84,100,0.0007,36.0,71.0,主趋势过滤
2026-03-20,1055,sz.002746,正常跟踪,正常,-955.0,6.46,6.14,7.11,100,0.0006,32.0,65.0,主趋势过滤
2026-03-20,1058,sh.603817,正常跟踪,正常,-958.0,8.18,7.77,9.0,100,0.0008,41.0,82.0,主趋势过滤
2026-03-20,1060,sz.002663,正常跟踪,正常,-960.0,2.28,2.17,2.51,300,0.0007,33.0,69.0,主趋势过滤
2026-03-20,1063,sz.002573,正常跟踪,正常,-963.0,4.08,3.88,4.49,200,0.0008,40.0,82.0,主趋势过滤
2026-03-20,1065,sh.600866,正常跟踪,正常,-965.0,8.04,7.64,8.84,100,0.0008,40.0,80.0,主趋势过滤
2026-03-20,1067,sh.600975,正常跟踪,正常,-967.0,5.82,5.53,6.4,100,0.0006,29.0,58.0,主趋势过滤
2026-03-20,1068,sh.600359,正常跟踪,正常,-968.0,7.88,7.49,8.67,100,0.0008,39.0,79.0,主趋势过滤
2026-03-20,1070,sz.000930,正常跟踪,正常,-970.0,7.79,7.4,8.57,100,0.0008,39.0,78.0,主趋势过滤
2026-03-20,1072,sz.300425,正常跟踪,正常,-972.0,5.33,5.06,5.86,100,0.0005,27.0,53.0,主趋势过滤
2026-03-20,1074,sz.300088,正常跟踪,正常,-974.0,6.71,6.37,7.38,100,0.0007,34.0,67.0,主趋势过滤
2026-03-20,1075,sh.603557,正常跟踪,正常,-975.0,4.21,4.0,4.63,200,0.0008,42.0,84.0,主趋势过滤
2026-03-20,1077,sz.000723,正常跟踪,正常,-977.0,5.4,5.13,5.94,100,0.0005,27.0,54.0,主趋势过滤
2026-03-20,1079,sz.300214,正常跟踪,正常,-979.0,8.32,7.9,9.15,100,0.0008,42.0,83.0,主趋势过滤
2026-03-20,1080,sz.000507,正常跟踪,正常,-980.0,5.7,5.42,6.27,100,0.0006,28.0,57.0,主趋势过滤
2026-03-20,1085,sz.002224,正常跟踪,正常,-985.0,4.83,4.59,5.31,100,0.0005,24.0,48.0,主趋势过滤
2026-03-20,1086,sz.002310,正常跟踪,正常,-986.0,2.99,2.84,3.29,200,0.0006,30.0,60.0,主趋势过滤
2026-03-20,1090,sh.688055,正常跟踪,正常,-990.0,4.37,4.15,4.81,200,0.0009,44.0,88.0,主趋势过滤
2026-03-20,1094,sz.300405,正常跟踪,正常,-994.0,7.22,6.86,7.94,100,0.0007,36.0,72.0,主趋势过滤
2026-03-20,1095,sh.515880,正常跟踪,正常,-995.0,1.1,1.04,1.21,800,0.0009,48.0,88.0,主趋势过滤
2026-03-20,1096,sz.000553,正常跟踪,正常,-996.0,6.64,6.31,7.3,100,0.0007,33.0,66.0,主趋势过滤
2026-03-20,1097,sz.300032,正常跟踪,正常,-997.0,5.93,5.63,6.52,100,0.0006,30.0,59.0,主趋势过滤
2026-03-20,1099,sz.300464,正常跟踪,正常,-999.0,7.42,7.05,8.16,100,0.0007,37.0,74.0,主趋势过滤
2026-03-20,1103,sz.000790,正常跟踪,正常,-1003.0,4.22,4.01,4.64,200,0.0008,42.0,84.0,主趋势过滤
2026-03-20,1104,sh.600354,正常跟踪,正常,-1004.0,7.93,7.53,8.72,100,0.0008,40.0,79.0,主趋势过滤
2026-03-20,1105,sz.002355,正常跟踪,正常,-1005.0,7.44,7.07,8.18,100,0.0007,37.0,74.0,主趋势过滤
2026-03-20,1106,sh.600156,正常跟踪,正常,-1006.0,8.45,8.03,9.29,100,0.0008,42.0,84.0,主趋势过滤
2026-03-20,1107,sh.600935,正常跟踪,正常,-1007.0,3.19,3.03,3.51,200,0.0006,32.0,64.0,主趋势过滤
2026-03-20,1112,sh.600794,正常跟踪,正常,-1012.0,4.14,3.93,4.55,200,0.0008,42.0,82.0,主趋势过滤
2026-03-20,1113,sz.002480,正常跟踪,正常,-1013.0,6.58,6.25,7.24,100,0.0007,33.0,66.0,主趋势过滤
2026-03-20,1116,sz.002061,正常跟踪,正常,-1016.0,4.16,3.95,4.58,200,0.0008,42.0,84.0,主趋势过滤
2026-03-20,1120,sz.002157,正常跟踪,正常,-1020.0,3.39,3.22,3.73,200,0.0007,34.0,68.0,主趋势过滤
2026-03-20,1121,sz.300334,正常跟踪,正常,-1021.0,8.12,7.71,8.93,100,0.0008,41.0,81.0,主趋势过滤
2026-03-20,1122,sh.600180,正常跟踪,正常,-1022.0,3.88,3.69,4.27,200,0.0008,38.0,78.0,主趋势过滤
2026-03-20,1126,sz.300365,正常跟踪,正常,-1026.0,6.93,6.58,7.62,100,0.0007,35.0,69.0,主趋势过滤
